title,category,doc_type,source_org,source_url,file_path,tags,downloaded_at,sha256,status,error
关于新形势下配电网高质量发展的指导意见,02_policy_regulations,国家政策PDF,中国节能协会主办节能环保产业网转载,https://www.eesia.cn/upload/files/2024/3/89090f59828ec08d.pdf,02_policy_regulations/24_关于新形势下配电网高质量发展的指导意见_b84985e0.pdf,"配电网,高质量发展,承载能力,双向互动",2026-05-20T03:19:40.471908+00:00,f03d30d53bde2d2e15624229c69b47159ff5646ea979e6107813c27dddb5ad7f,downloaded,
国家电网有限公司招标活动管理办法,02_policy_regulations,国网规章网页,国家电网有限公司/国家电子招标投标系统转载,https://www.gov.cn/,02_policy_regulations/25_国家电网有限公司招标活动管理办法_f91d60bd.md,"招标活动,招标管理,国家电网",2026-05-20T03:19:40.471908+00:00,058403847304d8895266becbe9e9fcc21d4de430d30a3ff547d4497ae25efe80,downloaded,
国家电网有限公司供应商管理办法,02_policy_regulations,国网规章网页,国家电网有限公司/国家电子招标投标系统转载,https://www.gov.cn/,02_policy_regulations/26_国家电网有限公司供应商管理办法_fa9308a9.md,"供应商管理,国家电网",2026-05-20T03:19:40.471908+00:00,9b2351b3addfb4da30dfb62a1ab95a30b2417af167539f6ddc3459e363ccf0d3,downloaded,
国家电网有限公司物资采购标准,02_policy_regulations,国网标准网页,国家电网有限公司物资部,https://www.gov.cn/,02_policy_regulations/27_国家电网有限公司物资采购标准_011cf2f8.md,"物资采购,采购标准,国家电网",2026-05-20T03:19:40.471908+00:00,dfd95d4c6afd7e0fee643be605fed169eb1d0776bf06216a667796ce84640893,downloaded,
GB/T 50430-2017 工程建设施工企业质量管理规范,03_standards_specs,国家标准PDF,中华人民共和国住房 and 城乡建设部,https://www.mohurd.gov.cn/file/2023/20231220/6813df70-8f3d-4596-b31a-14c253aaff0a.pdf?n=%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E5%9B%BD%E5%AE%B6%E6%A0%87%E5%87%86%E7%AE%A1%E7%90%86%E5%8A%9E%E6%B3%95-%E5%9B%BE%E7%89%87%E7%89%88,03_standards_specs/28_GB_T_50430-2017_工程建设施工企业质量管理规范_1de1f0b0.pdf,"施工企业,质量管理,物资管理,过程控制",2026-05-20T03:19:40.471908+00:00,f9e9ece9d9ffae280ae1587e99d884fb9fdddf9a9b63d4723ef4f26ba0d0ce39,downloaded,
GB 50150-2016 电气装置安装工程电气设备交接试验标准,03_standards_specs,国家标准PDF,生态环境部政府网公开附件,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/other/hjbz/200707/W020120104566811253525.pdf,03_standards_specs/29_GB_50150-2016_电气装置安装工程电气设备交接试验标准_fc635cff.pdf,"电气安装,电气设备,交接试验,试验标准",2026-05-20T03:19:40.471908+00:00,fafbd9447a743d723f944fdbfd3ddaa8dc96d12f0244a5eaa098b677365ed756,downloaded,
GB 50168-2018 电气装置安装工程电缆线路施工及验收标准,03_standards_specs,国家标准PDF,生态环境部政府网公开附件,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/other/hjbhgc/201808/W020180831491803951217.pdf,03_standards_specs/30_GB_50168-2018_电气装置安装工程电缆线路施工及验收标准_a1b97d37.pdf,"电气安装,电缆敷设,电缆接头,施工验收",2026-05-20T03:19:40.471908+00:00,4097d455ebd1b3a9e89f52fbae81eacb689bb72f82d5f9e5262d00a75d82bf96,downloaded,
GB 50169-2016 电气装置安装工程接地装置施工及验收规范,03_standards_specs,国家标准PDF,生态环境部政府网公开附件,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/other/hjbhgc/201512/W020151224597070460481.pdf,03_standards_specs/31_GB_50169-2016_电气装置安装工程接地装置施工及验收规范_602d008e.pdf,"电气安装,接地网,接地引下线,施工验收",2026-05-20T03:19:40.471908+00:00,184f57c4abca85873c3957a6a9ad97e3af984b03c93f1700adaab75653687aa4,downloaded,
GB 50171-2016 电气装置安装工程盘、柜及二次回路接线施工及验收规范,03_standards_specs,国家标准PDF,生态环境部政府网公开附件,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/201903/W020190328326581495215.pdf,03_standards_specs/32_GB_50171-2016_电气装置安装工程盘、柜及二次回路接线施工及验收规范_90fd52db.pdf,"电气安装,控制柜,二次接线,施工验收",2026-05-20T03:19:40.471908+00:00,98c04a0de819bf06481ab44f4f5fc697ea03a3807cd20bb85e70bf3aacbdd04a,downloaded,
DL/T 5729-2016 配电网规划设计技术导则,03_standards_specs,行业标准PDF,重庆节能网公开附件,http://www.cqjnw.org/res/2017/04-13/15/c1beb3f98b2050fc222291629aea6ece.pdf,03_standards_specs/33_DL_T_5729-2016_配电网规划设计技术导则_152191f3.pdf,"配电网,规划设计,容载比,供电可靠性",2026-05-20T03:19:40.471908+00:00,d207b192592d8428c7071eb18482c7b960dadbe00f199f503513c2237c25c002,downloaded,
