candidate_id,bid_volume,record_type,source_page,dedup_status,dedup_status_label,enterprise,doc_owner,source_domain,target_library,target_library_label,evidence_type,evidence_type_label,product_families,material_category,applicable_volumes,applicable_sections,origin_type,validity_status,sensitivity,sensitivity_label,quality_tier,quality_tier_label,review_status,review_status_label,title,source_display_name,source_document_name,category_label,description,tags,caption_policy,formal_caption,evidence_bundle_id,manual_review_required,approved_candidate,ingestion_eligible,ingestion_action,ingestion_block_reason,classification_confidence,source_file,source_section,content_sha256,media_sha256
technical-chapter-005,technical,chapter,5,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/1.业绩文件/1.1.资格预审通知书""]",reference_layout_only,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：专项投标文件/1.业绩文件/1.1.资格预审通知书,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“专项投标文件/1.业绩文件/1.1.资格预审通知书”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/1.业绩文件/1.1.资格预审通知书,6151f1fd4e2c13649af20c673d26127ad3caa25807a504028b77c323498d6b61,
technical-media-0002,technical,media,5,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,qualification_library,资信库资料,project_performance,项目业绩,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/1.业绩文件/1.1.资格预审通知书""]",reference_layout_only,needs_review,internal,企业内部资料,review_only,仅限人工复核,needs_customer_confirmation,需要客户确认,泰昌项目业绩历史候选第5页,泰昌技术补充文件,泰昌技术补充文件,项目业绩,来源于泰昌技术补充文件，历史位置为“专项投标文件/1.业绩文件/1.1.资格预审通知书”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""项目业绩"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,True,False,False,blocked,尚未通过P0-06人工批准,0.8,assets/template_words/技术补充文件.docx,（二）专项投标文件/1.业绩文件/1.1.资格预审通知书,024217890bffe91af9a61079590d6b6538f9b6d5713a1c4c4744cc6eb1eeac24,024217890bffe91af9a61079590d6b6538f9b6d5713a1c4c4744cc6eb1eeac24
technical-chapter-006,technical,chapter,6,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/2.技术特性参数表""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：专项投标文件/2.技术特性参数表,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表,81242f4cc6f8f612b750d0c924a5800511f0e5b17b031b94c1e9cc038cfaedf8,
technical-table-002,technical,table,7,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,product_library,产品库资料,product_parameter_table,产品参数表,"[""电缆保护管通用""]",电缆保护管,"[""技术标""]","[""专项投标文件/2.技术特性参数表""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史表单参考：专项投标文件/2.技术特性参数表,泰昌技术补充文件,泰昌技术补充文件,产品参数表,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""产品参数表"", ""历史标书候选"", ""技术标"", ""电缆保护管通用""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,0.9,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表,f78b859a5060481f94322bc774a19d14b7f8b43291fa3ace909d13c2600a84aa,
technical-fact-0005,technical,fact_candidate,7,fact_conflict,事实冲突,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,project_context,历史项目上下文,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/2.技术特性参数表""]",tender_mandated,project_conflict_check_required,internal,企业内部资料,restricted,受限资料,rejected_conflict,事实冲突，禁止复用,泰昌历史项目上下文历史候选第7页,泰昌技术补充文件,泰昌技术补充文件,历史项目上下文,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史项目上下文"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表,738feab51fe7e166450efd6b11cc5871ec72e2ba8f1234721608c3582c2b4a70,
technical-fact-0006,technical,fact_candidate,7,fact_conflict,事实冲突,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,project_context,历史项目上下文,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/2.技术特性参数表""]",tender_mandated,project_conflict_check_required,internal,企业内部资料,restricted,受限资料,rejected_conflict,事实冲突，禁止复用,泰昌历史项目上下文历史候选第7页,泰昌技术补充文件,泰昌技术补充文件,历史项目上下文,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史项目上下文"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,
technical-fact-0007,technical,fact_candidate,7,duplicate_exact,精确重复，不新增,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,product_library,产品库资料,product_parameter_table,产品参数表,"[""电缆保护管通用""]",电缆保护管,"[""技术标""]","[""专项投标文件/2.技术特性参数表""]",tender_mandated,coverage_unconfirmed,internal,企业内部资料,review_only,仅限人工复核,rejected_duplicate,精确重复，不新增,泰昌产品参数表历史候选第7页,泰昌技术补充文件,泰昌技术补充文件,产品参数表,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""产品参数表"", ""历史标书候选"", ""技术标"", ""电缆保护管通用""]",suppressed_document_page_caption,,taichang-exact-a52d25d31e556a2ae3c4,False,False,False,blocked,尚未通过P0-06人工批准,0.85,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表,1e0dbd60795ef883369a0e31cb3f16ad10beca7cfe04248e2b9c2bacdff0ddef,
technical-fact-0008,technical,fact_candidate,7,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,knowledge_library,知识库资料,technical_response,技术响应资料,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/2.技术特性参数表""]",tender_mandated,not_parameter_evidence,internal,企业内部资料,review_only,仅限人工复核,needs_customer_confirmation,需要客户确认,泰昌技术响应资料历史候选第7页,泰昌技术补充文件,泰昌技术补充文件,技术响应资料,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""技术响应资料"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,True,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表,69c826016ac2d6ec22ad9ee3dabdad87233cf80e1f5b0bdf06493b7bfc8c9b5f,
technical-chapter-007,technical,chapter,6,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/2.技术特性参数表/（G004-500013634-00006）""]",uncertain,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：专项投标文件/2.技术特性参数表/（G004-500013634-00006）,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表/（G004-500013634-00006）”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表/（G004-500013634-00006）,cc0b2ae23070d44c27bcb15e890f8ba13435415c55d5a20feafb3169636cbfc1,
technical-fact-0009,technical,fact_candidate,6,fact_conflict,事实冲突,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,project_context,历史项目上下文,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/2.技术特性参数表/（G004-500013634-00006）""]",uncertain,applicability_needs_tender_confirmation,internal,企业内部资料,restricted,受限资料,rejected_conflict,事实冲突，禁止复用,泰昌历史项目上下文历史候选第6页,泰昌技术补充文件,泰昌技术补充文件,历史项目上下文,来源于泰昌技术补充文件，历史位置为“专项投标文件/2.技术特性参数表/（G004-500013634-00006）”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史项目上下文"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/2.技术特性参数表/（G004-500013634-00006）,a6d6fce1ba5ac529f14e53f212bbaae5caf418d22f0107f227f2f7bde19a96d0,
