ingestion_batch_id,province,batch_no,package_no,package_code,material_category,source_file,docx_file,table_index,row_number,table_type,sequence_no,parameter_name,unit,standard_value,project_required_value,bidder_response_value,bidder_guaranteed_value,deviation,remark,nominal_inner_diameter,nominal_wall_thickness,minimum_wall_thickness,inner_diameter_tolerance,wall_thickness_tolerance,out_of_roundness,row_data
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,3,dimension_parameter_table,2,公称内径 100,,,,,,,,100,,,+0.6,,,"{""序号"": ""2"", ""公称内径"": ""100"", ""公称内径允许偏差"": ""+0.6"", ""承口内径允许偏差"": ""+0.6"", ""承口最小深度"": ""80""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,4,dimension_parameter_table,3,公称内径 125,,,,,,,,125,,,+0.7,,,"{""序号"": ""3"", ""公称内径"": ""125"", ""公称内径允许偏差"": ""+0.7"", ""承口内径允许偏差"": ""+0.7"", ""承口最小深度"": ""100""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,5,dimension_parameter_table,4,公称内径 150,,,,,,,,150,,,+0.8,,,"{""序号"": ""4"", ""公称内径"": ""150"", ""公称内径允许偏差"": ""+0.8"", ""承口内径允许偏差"": ""+0.8"", ""承口最小深度"": ""100""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,6,dimension_parameter_table,5,公称内径 175,,,,,,,,175,,,+0.9,,,"{""序号"": ""5"", ""公称内径"": ""175"", ""公称内径允许偏差"": ""+0.9"", ""承口内径允许偏差"": ""+0.9"", ""承口最小深度"": ""100""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,7,dimension_parameter_table,6,公称内径 200,,,,,,,,200,,,+1.0,,,"{""序号"": ""6"", ""公称内径"": ""200"", ""公称内径允许偏差"": ""+1.0"", ""承口内径允许偏差"": ""+1.0"", ""承口最小深度"": ""120""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,8,dimension_parameter_table,7,公称内径 225,,,,,,,,225,,,+1.1,,,"{""序号"": ""7"", ""公称内径"": ""225"", ""公称内径允许偏差"": ""+1.1"", ""承口内径允许偏差"": ""+1.1"", ""承口最小深度"": ""120""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,9,dimension_parameter_table,8,公称内径 250,,,,,,,,250,,,+1.2,,,"{""序号"": ""8"", ""公称内径"": ""250"", ""公称内径允许偏差"": ""+1.2"", ""承口内径允许偏差"": ""+1.2"", ""承口最小深度"": ""120""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,2,10,dimension_parameter_table,注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。,公称内径 注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。,,,,,,,,注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。,,,注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。,,,"{""序号"": ""注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。"", ""公称内径"": ""注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。"", ""公称内径允许偏差"": ""注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。"", ""承口内径允许偏差"": ""注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。"", ""承口最小深度"": ""注1：承口最小深度是从承口端部到承口底部的最小距离； 注2：承口内径偏差为制造与设计的差数； 注3：其他规格尺寸由供需双方协商确定，其公称内径允许偏差、承口内径允许偏差以及承口最小深度以表中最接近的一档为准。""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,3,2,dimension_parameter_table,1,t＜6.0,,,,,,,,,t＜6.0,,,,,"{""序号"": ""1"", ""公称壁厚"": ""t＜6.0"", ""公称壁厚允许偏差"": ""+0.6""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/staging/converted_docx/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.docx,3,3,dimension_parameter_table,2,6.0≤t＜7.0,,,,,,,,,6.0≤t＜7.0,,,,,"{""序号"": ""2"", ""公称壁厚"": ""6.0≤t＜7.0"", ""公称壁厚允许偏差"": ""+0.7""}"
